시설명,기관유형,주소,전화번호,홈페이지,장기요양기관지정일,교통편,주차시설,정원,현원(남),현원(여),대기(남),대기(여),재가노인복지시설방문요양-요양보호사-1급,재가노인복지시설방문요양-요양보호사-2급,재가노인복지시설방문요양-요양보호사-유예,재가장기요양기관방문요양-요양보호사-1급,재가장기요양기관방문요양-요양보호사-2급,재가장기요양기관방문요양-요양보호사-유예,간호사,간호조무사,계약,관리인,물리치료사,보조원,사무국장,사무실,사무원,사회복지사,세면/세탁실,시설장,영양사,위생원,유예,작업치료사,재가노인복지시설주야간보호,조리원,침실,화장실
인천재가노인복지센터,재가장기요양기관 복지용구,인천광역시 동구 송림로 138인천광역시 동구 요양기관 ,032-766-8881,-,2008년 07월 28일,인천재능대학교 후문 하차 24시(세븐일레븐) 편의점(미지빌딩)6층에 위치 하고 있음.,본 건물 뒷편 주차 가능,-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
연세재가노인복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-574-9998,-,2022년 02월 28일,정보 없음,정보 없음,-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
주식회사 솔숲,재가장기요양기관 복지용구,인천광역시 동구 솔빛로 21인천광역시 동구 요양기관 ,032-772-2244,http://solsup.kr/,2019년 03월 20일,"전철이용시 : 동인천역 4번 출구, 북광장으로 진입후 보도로 5분   - 버스이용시 : 12, 72, 82, 506번 버스 미림극장 맞은편 하차후 5분거리",주차가능,-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
수연재가노인복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 만석로 85인천광역시 동구 요양기관 ,032-208-1207,http://smilesenior.co.kr,2025년 07월 14일,지하철: 동인천역 4번출구에서 도보 12분 버   스: 화도진공원에서 도보 7분  (2번 /  21번 /  26번  /  506번),"주차장은 따로 없고, 주변 지역 주차 라인에 주차 가능 합니다.",-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
온샘재가복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 새천년로 37인천광역시 동구 요양기관 ,010-6281-0058,http://www.onsaem.org,2025년 07월 14일,"동산교회 방향 2, 7, 10, 13   지하철 인천1호선 제물포역 2번출구 동산고등학교 방향 510번 환승",방문 시 사전 문의주세요,-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0명,,,,,,,,,,,,,,,,,,,,,,,,,,,
